External ID,Created by,Order By,Purchase Order Date,Particulars,Vendor,Vendor,Type of Expense,Nature of Document,Place of Supply,Subsidiary,Terms,Approval status,Branch,Line of business,Division,Department,Currency,Ship to,Item,Rate,Quantity,Amount,Project,HSN or SAC code,India Tax Nature,Nexus,Nexus Override ,Vendor Tax Reg number,Subsidiary tax reg number,Vendor Select
A/2025/PO/000053,,,10-01-2025,Ultimate Source-Mum,UltimateSource,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000054,,,10-01-2025,Abdul Shahid Shaikh-Mum,AbdulShahidShaikh,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000055,,,10-01-2025,Vinit Video Vision-Mum,VinitVideoVision,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000056,,,10-01-2025,Strategink Solutions Pvt Ltd-Mum,StrateginkSolutionsPvtLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000057,,,10-01-2025,Strategink Solutions Pvt Ltd-Mum,StrateginkSolutionsPvtLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000058,,,10-01-2025,Creative Konnects-Mum,CreativeKonnects,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000059,,,10-01-2025,Peregrine Guarding Pvt Ltd-Mum,PeregrineGuardingPvtLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000060,,,10-01-2025,Vodafone Idea Ltd-Mum,VodafoneIdeaLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000061,,,10-01-2025,Mangesh Waghmare Advance-CR,MangeshWaghmareAdvance,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000062,,,10-01-2025,Phonographic Performance Limited-Mum,PhonographicPerformanceLimited,12256  Phonographic Performance Ltd,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000063,,,10-01-2025,Novex Communications Pvt. Ltd.-Mum,NovexCommunicationsPvt.Ltd.,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000064,,,10-01-2025,The Indian Performing Right Society Ltd.-Mum,TheIndianPerformingRightSocietyLtd.,,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000065,,,10-01-2025,Phonographic Performance Limited-Mum,PhonographicPerformanceLimited,12256  Phonographic Performance Ltd,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000066,,,10-01-2025,Novex Communications Pvt. Ltd.-Mum,NovexCommunicationsPvt.Ltd.,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000067,,,10-01-2025,Greenix Experience Pvt Ltd-Mum,GreenixExperiencePvtLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000070,,,10-01-2025,Santosh Bhogal Cash Advance A/c-CR,SantoshBhogalCashAdvanceA/c,,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000068,,,10-01-2025,Recorded Music Performance Ltd-Mum,RecordedMusicPerformanceLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000069,,,10-01-2025,Vinit Video Vision-Mum,VinitVideoVision,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000071,,,10-01-2025,Bappa Creation-Mum,BappaCreation,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000072,,,10-01-2025,A. J. Creation-Mum,A.J.Creation,,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000074,,,10-01-2025,Metro Enterprises (Viral Hirabhai Patel)-Mum,MetroEnterprises(ViralHirabhaiPatel),#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000076,,,10-01-2025,Bappa Creation-Mum,BappaCreation,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000077,,,10-01-2025,Vinit Video Vision-Mum,VinitVideoVision,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000079,,,10-01-2025,"Godaddy.Com,Llc-Mum","Godaddy.Com,Llc",Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000080,,,11-01-2025,Artiligent Solutions Pvt Ltd-Mum,ArtiligentSolutionsPvtLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000081,,,11-01-2025,Noaman Digital Partnership Firm-Mum,NoamanDigitalPartnershipFirm,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000082,,,11-01-2025,Sportocraft Enterprises-Mum,SportocraftEnterprises,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000083,,,11-01-2025,Om Screen Art Events-Mum,OmScreenArtEvents,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
